RegistroDescricao,Reclamado,,,,,,,
Portabilidade realizada na linha incorreta,"Descrição do problema: Consumidor (a) informa que solicitou portabilidade da Tim para Claro, porém ao passar do prazo de portabilidade, verificou que seu número não foi portado, mas sim está com um número provisório. Já foi dado vários prazos para resolução porém nada foi resolvido._x000D_
O que o consumidor solicita como providências: Portabilidade com urgência._x000D_
Serviço Reclamado: pós-pago_x000D_
,"BOM DIA ESTOU TENTANDO A UMA SEMANA JUNTO A CLARO TRANSFERIR MINHA LINHA DE PÓS PAGO PARA PRÉ PAGO E NAO ESTOU CONSEGUINDO POIS A MESMA ME RETORNA OS E MAILS SOLICITANDO MAIS DADOS OU MANDA SMS PARA MEU APARELHO ME FERTANDO 30% DE DESCONTO NA FIDELIDADE POR 12 MESES E O DOBRO DE INTERNET _x000D_
O NUMERO DE PROTOCOLO 2021212081732 ESSE É O ULTIMO ",,,,,,,
Demora na portabilidade,"No dia 08/03/21 às 14:53 a operadora Claro entrou em contato comigo no meu telefone (31) 99217-5370, até então pertencente a operadora Tim, me oferecendo um plano que seria ativado através de portabilidade. Fui orientado a aguardar o recebimento do chip para ativação, que ocorreu no dia 09/03/21 às 14:04 através do protocolo 013211084186764, onde obtive a informação que no dia 12/03/21 às 08:00 a portabilidade seria concluída e o número (31) 99217-5370 estaria funcionando com a operadora Claro. Fiz a inserção do chip na data informada e me deparei com o mesmo sem sinal, não recebo e não faço chamadas. Entrei em contato novamente, me pediram um prazo de 24 horas que se findou hoje. Liguei novamente na csntral e fui orientado a buscar outros meios de atendimento, também sem sucesso. Onprotoco da ligação de hoje 13/03/21 é o 013211085411849, atendente Bruna, que me orientou a entrar em contato com a operadora através do aplicativo, o qual me direcionou para o site e lá fiz uma nova solicitação de ativação do chip e me foi pedido mais um prazo de 48 horas para ativação. Estou sem receber e realizar chamadas há 2 dias, posso ter perdido compromissos nesse período e não estou tendo assistência da operadora para solucionar o problema. Caso precisem me contatar, gentileza entrar em contato com o número (31) 98504-6485. Obrigado!",,,,,,,
,"Foi solicitada a portabilidade do telefone fixo (27) 3239-1588 há três semanas na loja da operadora Claro do shopping Vila Velha. _x000D_
Ocorre que, até a presente data, não foi concluída, e a operadora não dá um prazo para concluí-la, alegando que não pode ter 2 linhas de telefone fixo no mesmo CPF, diferente do combinado no momento da assinatura do Contrato. _x000D_
No dia da assinatura do contrato, a informação que nos foi passada era que para ter o valor do pacote promocional, deveria ser feito tudo em um CPF. No entanto, essa condição imposta infringe o regulamento da própria operadora, que alega que não pode haver dois telefones fixos registrados no mesmo CPF._x000D_
Diante do problema apresentado, eles separaram os contratos, fazendo um outro contrato para a linha de telefone informada acima, e mesmo assim, ainda não foi solucionado. E quando entramos em contato com a Gerência da loja, apenas pedem para aguardar, mas sem prazo._x000D_
Atualmente, a portabilidade não foi feita, e a linha ainda está funcionando na outra operadora (OI fixo).",,,,,,,
Demora na portabilidade,"solicitei portabilidade e a mesma foi realizada para um numero desconhecido e foi em fevereiro e até hoje não corrigiram  o erro._x000D_
o número certo é 11 96943 2532 mas ativaram o serviço para o numero 11 96943 2533, eles não conseguem corrigir o ultimo digito de ""3"" para ""2"". e já foram abertas diversas solicitações e nenhuma atendida com alegação de que não tiveram êxito em uma chamada de verificação, porém não recebi nenhuma ligação em mais de 12 chamados de reparos abertos. Estou precisando de uma solução urgente para este problema._x000D_
_x000D_
Desde já agradeço.  ",,,,,,,
Demora na portabilidade,"Me chamo Bruno. Tenho o número (11)970373987 e na data do dia 25/02 entrei em contato com a operadora Claro, na qual sou cliente há mais de 1 ano solicitando a portabilidade. Preenchi todos os formulários, e depois de 3 dias recebi o chip através do correios, e a data da portabilidade ficou agendada para o dia 02/03/2021. No dia o meu outro chip da operadora Oi parou de funcionar e a portabilidade ocorreu. Entretanto o chip da operador Claro não funcionou. Liguei outras vezes e obtive a informação que o número foi transferido para a Claro, porém o chip não esta em funcionamento. Ja liguei diversas vezes e inclusive uma dessas no dia 09/03 que segue o protocolo  anexado a atendente de nome Laiane informou que abriria um chamado e que em até 3 dias meu problema seria solucionado, decorrido os dias e o problema não foi solucionado. ",,,,,,,
,"Foi me ofertado a portabilidade de 3 linhas da TIM para a Claro no dia 16/01/2021, com condições conforme o protocolo da oferta número 096213824221810. Inclusive, como meu plano na TIM era um plano controle, sem surpresa quando a conta chegasse, falei do meu receio se mudasse para Claro, mas perguntaram qual a marca do meu celular e o modelo, depois me informaram pra eu não se preocupar, que meu celular iria sempre colocar o código da operadora era só eu seguir o procedimento que me passaram, para cadastrar o código da claro (21) nos celulares, quando efetivasse a portabilidade para Claro, por fim, fiz tudo que me foi orientado. Mas a empresa Claro não cumpriu o que me foi ofertado no referido protocolo: 1. Não fizeram a portabilidade das 3 linhas, somente uma, abri reclamação fizeram outras tentativas sem sucesso; 2. Foi enviado uma fatura com cobrança apenas de uma linha, e ligações feitas, mesmo seguindo os procedimentos que me informaram. Então desistir da oferta e solicitei o cancelamento da mesma, informaram que não era possível. Solicitei  a contestação do valor cobrado e a gravação oferta (protocolo da oferta 096213824221810), indeferiram a contestação e informaram que não encontraram a gravação. Então, através da Anatel, contesto os valores cobrados, por não cumprimento da oferta. Informo que tive que solicitar novamente a portabilidade para voltar pra TIM, tive mais esse transtorno, mas já consegui, e meu número já está na TIM novamente. Obrigado e no aguardo.",,,,,,,
Demora na portabilidade,Desde quando adquiri um chip pre pago da claro 73981380179 (ICCID 89550537990003047455) há exatamente um mês não consigo solicitar a portabilidade receptora. Tenho um número de outra operadora 73988222245 (Doadora). Preciso trazer meu número da outra aoperadora para claro e não consigo nem solicitar tal portabilidade. Além disso quando concluírem minha solicitação favor ressarcir o valor pago.,,,,,,,
Demora na portabilidade,"No dia 02/02/2021 foi solicitado por meio da operadora VIVO a portabilidade das seguintes linhas pertencentes à CLARO: (32)98709-7550 e (32)98855-7919, assim como no dia 03/02/2021 o mesmo pedido de portabilidade foi feito para a linha (32)98854-2715 pertencente à CLARO. O dia da portabilidade estava marcado respectivamente para dia 28/02/2021 e 26/02/2021. A portabilidade da CLARO para a VIVO do número (32)98854-2715 foi concluída com sucesso._x000D_
_x000D_
ENTRETANTO, a portabilidade dos números (32)98709-7550 e (32)98855-7919 não ocorreu no dia referido acima. Entrei em contato com as duas operadoras, onde a operadora VIVO disse que a responsabilidade era da empresa CLARO. Desta forma, entrei em contrato com a operadora CLARO, que em atendimento não explicou o porquê da portabilidade não ter sido realizada e apenas disponibilizou uma nova data: dia 03/03/2021._x000D_
_x000D_
NOVAMENTE no dia 03/03/2021 a portabilidade dos números (32)98709-7550 e (32)98855-7919 NÃO OCORREU. Liguei novamente para a CLARO, não me explicaram o motivo e reagendaram novamente para o dia 08/03/2020 às 20h. Novamente este prazo não foi cumprido e em ligação com a operadora VIVO, me foi informado que a CLARO estava segurando as linhas referidas. Foi remarcada a portabilidade para o dia 12/03/2021 às 20h. _x000D_
_x000D_
DA MESMA MANEIRA a portabilidade NÃO OCORREU no prazo referido acima. GOSTARIA DE SABER O PORQUÊ DA DEMORA EM REALIZAR O PROCEDIMENTO DE PORTABILIDADE PARA A OPERADORA VIVO, E QUE A PORTABILIDADE DESSES NÚMEROS FOSSE REALIZADA O MAIS RÁPIDO POSSÍVEL. Inclusive, hoje recebi uma ligação do setor de ofertas da CLARO para as duas linhas a serem portadas, aonde recusei e expliquei a situação._x000D_
",,,,,,,
Portabilidade parcial de linhas solicitadas,"FIZ A PORTABILIDADE PARA  A CLARO / NET DE TANTO RECEBER LIGAÇÃO. _x000D_
AI O NÚMERO DO MEU MARIDO E O MEU DEU CERTO, MAS O DO MEU FILHO, NÃO. HÁ MEIO DE AJEITAR. _x000D_
ESTOU HÁ DUAS SEMANAS LIGANDO E TENHO 7 PROTOCOLOS DE ATENDIMENTO. _x000D_
ELE PERDEU AS CONVERSAS DO WAHATZAP E NÃO CONSEGE MAIS FAZER LIGAÇÃO._x000D_
MANDARAM UM CHP , DEPOIS O OUTRO E ESTAMOS SEM LINHA.",,,,,,,
Demora na portabilidade,"Estou tentando fazer a portabilidade de um numero da claro pq fui roubada ,e estão dizendo que não recebem meus documentos e agora dizem que não tem solicitação de analise para portabilidade , segue os protocolos das ligaçoes :_x000D_
_x000D_
2021225772708_x000D_
2021225821028_x000D_
2021225974943",,,,,,,
Demora na portabilidade,"Solicitei a portabilidade do meu claro 21968520557 para a Vivo em 28/02/2021. Já recebi meu chip pela Vivo porém a operadora me informou que a claro só vai concluir minha portabilidade dia 24/03/2021. Achei o prazo absurdo, tentei contato duas vezes junto a claro mas sempre que vai transferir para um atendente a ligação caiu (protocolos 2021231766730 e 2021231789475). Desejo utilizar meu número na minha nova operadora urgentemente, já que o prazo correto e de até 5 dias!",,,,,,,
Demora na portabilidade,"No dia 08/03 pedi a portabilidade pra operadora Claro. A portabilidade foi concluída no dia 11/03, às 9:30, no entanto, desde este momento estou completamente sem sinal no celular. Ao ligar pra Claro eles me informam que está tudo correto no sistema e não podem fazer nada, mas meu telefone não funciona. ",,,,,,,
Demora na portabilidade,"No dia 08/03 pedi a portabilidade pra operadora Claro. A portabilidade foi concluída no dia 11/03, às 9:30, no entanto, desde este momento estou completamente sem sinal no celular. Ao ligar pra Claro eles me informam que está tudo correto no sistema e não podem fazer nada, mas meu telefone não funciona. ",,,,,,,
Demora na portabilidade,"Contratei o combo NET/Claro com pedido de portabilidade desta linha de celular da TIM dia 4/3/21 - contrato 003/402628200. Ativei o chip Claro em 9/3 e me avisaram q a portabilidade ocorreria em 12/3. Estou tentando desde ontem, mas o chip não ativa nem o número provisório-11-965999448. Hoje, 13/3, liguei várias vezes até saber que não foi feito o pedido e tenho q esperar mais,  até 48h pra entrarem em contato. O último protocolo é 003214807742840. Já cancelei A recarga TIM beta lab e logo logo ficarei sem linha móvel... muitos problemas pra iniciar um serviço, não? Além disso, vou abrir mais solicitações.",,,,,,,
,"Solicitei a CLARO o cancelamento d a portabilidade de TIM para Claro no dia 3/3/2021 protocolo 2021192497115, ocorre que deste ontem dia 12/03 o meu telefone TIM deixou de funcionar, então descobri que a CLARO fez a portabilidade sem o meu consentimento e agora não quer desfazer, liguei 3 vezes e os atendentes não souberam resolver, falei com HELEN e com VIVIAN protocolo 2021232000333, e eles não sabem desfazer a portabilidade, estava na TIM e tinha saldo de pacote de Internet e 120 reais em crédito para renovar promoção TIM e agora estous em telefone, pois como tinha cancelado devolvi o Chip que a CLARO enviou pelo correios.PARA ENTRAR EM CONTATO COMIGO LIGUE PARA O NÚMERO 81 991100230 esse vai ser o meu número de contato enquanto estou sem telefone é da minha esposa Ingrid.",,,,,,,
Demora na portabilidade,"No dia 08/03/2021, por volta das 18h30, solicitei a portabilidade do meu plano pós pago Claro Nxt para um plano controle da Claro. Após realizar a portabilidade, a atendente me informou que seria enviado um chip a minha residência e que, no prazo de 24 horas, minha linha seria ativada automaticamente e que poderia utiliza-la sem restrições. Recebi este chip em minha residência no dia 09/03/2021 e ao inseri-lo no meu celular, o chip não subia sinal. Dessa forma passei a reutilizar meu antigo chip da Nextel com o antigo plano ainda em vigência. Retornei meu contato na claro e me informaram que houve um atraso na ativação do meu chip e que seria solicitada a ativação manual, e que no prazo máximo de 6 horas estaria normalizado. No dia seguinte (10/03/2021) novamente realizando testes no meu celular, verifiquei que não houve a ativação do meu chip. Retornei então e em atendimento semelhante o atendente me informou que verificou a minha solicitação em seu sistema, porém o prazo máximo para resposta seria de 3 dias úteis. Na sexta feira, em nova verificação e sem sucesso, meu contato direto a claro foi com o intuito de abrir uma reclamação formal junto ao setor de reclamações, bem como solução do meu problema, e me foi informado pelo atendente que ""não existe"" setor de reclamações na claro, ficando assim impossibilitado de concluir a reclamação, mas que iria encaminhar minha solicitação para a ouvidoria e me ofereceu o novo prazo de 5 dias úteis para resolução. No dia de hoje (13/03/2021), verifiquei que houve a desativação do meu plano Nextel, presumindo-se então que meu novo plano da Claro estaria ativo, porém não foi esse o ocorrido. Meu novo chip da Claro continua desativado. Liguei na central Claro Nxt e me confirmaram a desativação do meu plano antigo por portabilidade e, em retorno por ligações a claro, dessa vez pelo meu telefone residencial, em mais de três tentativas, os atendentes me informavam que não localizavam cadastro no sistema da Claro vinculados ao meu número ou CPF. Em resumo, meu novo plano da claro não está ativo, o meu antigo plano da  Claro Nxt foi desativado sem a conclusão da portabilidade e não houveram posicionamentos referentes a solução do meu problema._x000D_
Devido aos imensos transtornos e devido ainda a necessidade IMEDIATA de ativarem meu plano, pois o uso para fins profissionais, Apresento essa reclamação formal com três ressalvas inclusive, das quais pretendo solução._x000D_
1) Cobrança indevida do ciclo de vigência do plano controle da Claro, sendo que não o utilizei desde a contratação até a efetiva ativação, que ainda não aconteceu._x000D_
2)Cobrança proporcional dos dias que utilizei o plano anterior Claro Nxt, pois a ativação do novo plano deveria tê-lo acontecido no dia 09/03/2021, o que de fato não ocorreu até a presente data, obrigando-me a fazer a utilização do antigo chip e plano para fins pessoais e profissionais._x000D_
3) A ""perca"" do meu atual número, que utilizo para contato pessoal e profissional, do qual tenho a posse a muitos anos._x000D_
Saliento inclusive que, aparentemente, não há planos ativos da Claro ou Claro Nxt, possuo apenas o telefone residencial para contato ((11)5939-4772)._x000D_
Certo de célere resposta e resolução dos pontos tratados, inclusive os três questionamentos numerados._x000D_
_x000D_
Ademais, Seguem números de protocolos fornecidos nas tentativas de contato:_x000D_
2021231733559_x000D_
2021231688265_x000D_
2021225677203_x000D_
202190014719932_x000D_
202190014728745_x000D_
",,,,,,,
Demora na portabilidade,"Necessito que o meu número atual seja alterado para meu número de celular antigo que foi roubado. Liguei diversas vezes para Claro, mas não conseguiram me ajudar. Um dos atendentes disse para eu comparecer a uma loja física. Porém, em época de pandemia, as lojas estão fechadas. O que impossibilita a solução do meu problema. Após ligar novamente, disseram que iriam enviar um link para averiguar meus documentos e que um técnicoentraria em contato, mas esse link não chega e o técnico nunca chegou a ligar. Pedi para falar com o supervisor, mas apos a transferência da ligação ninguém atende.
",,,,,,,
Demora na portabilidade,"Solicitei a portabilidade da operadora Tim para a operadora Claro, essa solicitação já se passa por mais de 30 dias. Fui informada pela operadora Claro que a Tim não estava disponibilizando o meu número e que foi tentada a conclusão da portabilidade em 18/02/2021. Fiz a reclamação junto a operadora Tim inclusive junto à Anatel na qual informou que estaria liberando o meu número para concluir a referida portabilidade. Diante dos fatos solicitei novamente à Claro que efetuasse o pedido da portabilidade, haja visto eu já estar um período muito longo com o número provisório e essa situação tem me causado transtornos.  Em 03/03/2021 formalizei a reclamação junto à Claro (protocolo: 2021194781249) no qual o atendente informou que iria solicitar novamente a portabilidade. Passado o prazo de 5 dias entrei em contato com a Claro novamente em 09/04/2021 (protocolo: 2021217288362) relatei novamente toda a minha situação para a atendente Vanessa, que transferiu a ligação para seu supervisor André que afirmou que a operadora Claro iria entrar em contato comigo para resolver a tal situação. Na data de hoje, permaneço na mesma situação, usando um número provisório, não tendo a minha portabilidade concluída e o pior, a operadora Tim não liberou o meu número em data correta e a operadora Claro não fez a solicitação novamente. Acabei ficando refém das duas operadoras não sabendo qual está falando a verdade. Mas a minha reclamação junto aos senhores da Anatel é referente a operadora Claro, que ainda não solicitou novamente a minha portabilidade. Preciso que minha situação seja resolvida, trabalho com vendas e estou com dificuldades de comunicação com os meus clientes, ou seja, estou tendo prejuízos. ",,,,,,,
,"Prezados (as) senhores (as) Anatel,_x000D_
Venho por meio desse canal relatar problema de certa gravidade apresentado após a efetivação da contratação de plano combo (internet 240 megas + portabilidade telefone fixo residencial), na data de 08/02/2021 com instalação técnica em 12/02/2021._x000D_
cabe ressaltar que meu esposo, LUIZ SALUSTRO MOYSÉS é o titular do plano, se encontra no presente momento acamado e tendo como sua curadora (curatela judicial), eu, LEONOR MARCELINO MOYSÉS, esposa._x000D_
Informar que estamos sem telefone fixo, sem receber eu efetuar ligações há mais de 15 dias, por razões que até a equipe técnica da Claro a qual efetuou a instalação desconhecem. Incrível o tratamento desumano pela qual a Claro como operadora de telefonia dá a seus clientes através do seu SAC. Foram inúmeras tentativas de ligações pelo 10621, sem resultado efetivo. Ainda mais se tratando de idoso acamado e que necessita ter contato telefônico em emergências para com seus familiares._x000D_
Será necessário bater as portas do judiciário para a resolução do problema frente a um plano recém contratado? Um absurdo!_x000D_
Na central 10621, pediram para realizar procedimentos, como por exemplo: trocar o portal tel 1 para tel 2 e vice-versa, desligar e religar modem, mas nada disso adiantou, continuamos sem telefone fixo._x000D_
O técnico veio varias vezes verificar de forma espontânea as nossas solicitações por meio de seu Whatsapp mas também sem efeito._x000D_
Somos idosos e necessitamos com urgência o reestabelecimento do telefone, caso contrário estaremos cancelando o mesmo plano ofertado. E o mais incrível que na data da contratação foi ofertado as ""mil maravilhas da Claro"". Meu último protocolo de um total de 10 foram: 160214463283252 160214466301101._x000D_
Diante do CDC e do Estatuto do Idoso peço a tomada de providências frente as fatos relatados, bem como fundamentação legal das ocorrências detectadas no sistema de telefonia da Claro Digital._x000D_
Se passaram mais de 30 dias de espera pela efetivação da portabilidade e tanto a Vivo e a Claro não definem nem dão resolutividade ao consumidor. São bons só na produção de protocolos, um numeral infinito que não serve em nada._x000D_
_x000D_
Sem mais para o momento e no aguardo urgente de uma solução e resposta, subscrevo-me._x000D_
_x000D_
Leonor Marcelino Moysés.",,,,,,,
Demora na portabilidade,"No dia 1º de março solicitei um combo de internet + telefone celular. O telefone celular seria através de portabilidade. Minha operadora original é a Algar Telecom._x000D_
No dia que vieram instalar a internet, dia 06/03, trouxeram o chip. No dia 07/03 eu liguei na central de atendimento da Claro para ativar o chip._x000D_
Porém, até hoje não realizaram a portabilidade, sendo que já marcaram várias datas, a primeira para o dia 10/03, a segunda para o dia 11/03 e agora marcaram novamente para o dia 17/03._x000D_
Assim, estou com dois chips, um da Algar Telecom (34-99240-6639) e outro da Claro (34-98409-9809), aguardando essa portabilidade que nunca ocorre._x000D_
Quero deixar claro que eu não pedi outro número de celular, pra mim só serve se for a portabilidade, meu número original (34-99240-6639)._x000D_
O atendente da operadora Claro me informou que eu terei que pagar por esses dias que estou com o número provisório, o que eu não concordo, primeiro porque não preciso do número provisório, segundo porque a demora na conclusão da portabilidade é da Claro, lembrando que a própria operadora marcou a data do dia 10/03 e não cumpriu._x000D_
",,,,,,,
,"Contratei o combo da NET/Claro dia 4/3/21: TV Mix HD + Internet Virtua 240MB + ponto adicional de TV + Claro Móvel (com portabilidade) + fone fixo sem nenhum valor cobrado mensalmente (com portabilidade: 11-3589.8620).  Protocolo 003214803693310. A instalação foi feita dia 9/3/21 e o técnico disse que o fone fixo estava instalado, mas ainda não teria sinal até a portabilidade acontecer. Pedi pra deixar conectado. Esperei até hoje e não foi portado. Fiz a reclamação hoje 13/3 e me avisaram que a portabilidade nem foi pedida na contratação do combo! A atendente me falou que eu poderia pedir a portabilidade hoje e que teria que marcar nova visita do técnico... eu avisei q o técnico já tinha deixado pronto, mas mesmo assim ela falou que tinha q agendar. Como eu faltei no trabalho dia 9/3 para aguardar a instalação, disse que não teria condições de faltar novamente no meu trabalho e resolvi desistir do fone fixo, mas achei um absurdo!! Poderiam verificar se precisa de nova visita pra instalar o fixo que já foi instalado dia 9/3? ",,,,,,,
Demora na portabilidade,"No dia 13 de fevereiro mudei na vivo para a claro . Desde então a operadora vem me enrolando e não faz a portabilidade do meu número. Meu telefone é comercial, e estou sem receber chamadas e códigos de segurança via SMS no número 19 981670450. Ainda tem a cara de de cobrar pelo serviço!!! Dizem que tentam entrar em contato comigo para solucionar o problema mas não há qualquer registro de chamadas perdidas em meu celular. Tenho diversos protocolos mas vou deixar o último 

",,,,,,,
,"Sou Murilo Guilherme Dodt Filho cpf 881880273-91e represento minha mãe titular da linha telefônica 85 32310023  Inês Helena Linhares Dodt cpf 048861943-20. _x000D_
Contratamos mudança de operadora da oi para claro. Sábado 27/02/2021 os técnicos do claro vieram fazer toda instalação e no processo cortaram o cabo da TV por assinatura da antiga operadora. Após 7 dias, prazo para portabilidade, verificamos que o mesmo não ocorreu devido a um erro na transferência de titularidade de meu falecido pai para minha mãe feita em loja da oi no dia 13/05/2019. Após muitas ligações conseguimos a alteração dos dados junto com a OI no dia 10/03/2021. No dia 11/03 fizemos nova solicitação de portabilidade. No dia 12/03 ficamos sabendo que alguém na claro solicitou o cancelamento do telefone do plano, o que seria uma alteração unilateral do contrato, pois nosso maior interesse desde o inicio era a portabilidade. Entramos em contato com suporte técnico da claro, o qual fez uma solicitação de cancelamento do cancelamento e um novo registro de solicitação de portabilidade._x000D_
Hoje , sábado, entramos em contato com a operadora claro , apenas para acompanhar o processo, mas fui informado pela supervisora Natalia Cristina que o telefone havia sido cancelado e que não seria possível recuperar tornando a portabilidade sem efeito e que infelizmente nada poderiam fazer.  _x000D_
Como informamos não podemos ficar com as duas operadoras ativas e estamos com o problema, pois a claro não deu outra opção além do cancelamento do plano, visto que o mais importante foi excluído. Mas não podemos simplesmente cancelar, pois os técnicos da claro cortaram a instalação da operadora oi.  Solicito que a portabilidade seja realizada, ou que a instalação da empresa anterior seja refeita e nenhuma cobrança pelo cancelamento, visto que o mesmo foi quebrado unilateralmente. _x000D_
protocolos oi:07/03  20210003826494-7,  20210003830088-5,  07/03  20210003830765-6, 20211005384974, 202100040212891  protocolos claro: 07/03 097213864620367, 097213867545728, 09721386873525-2, 097213869907140, 097213869632490este ultimo atendido pela supervisora da claro Nathalia Cristina, a qual disse que infelizmente o telefone havia sido cancelado e nada poderia fazer. Pedi uma solução, mas a mesma informou que nada poderia fazer, pois o telefone cancelado não pode ser recuperado. Após todas as ligações e trabalho para ajeitar a situação a claro cancelou o telefone sem aviso prévio e sendo contatada por nós todos os dias. No dia 10/03 a situação foi corrigida pela oi e faltava apenas a solicitação de portabilidade da claro, a qual fez ume exclusão do numero tornando todos os procedimentos sem efeito._x000D_
Durante todo esse tempo fomos orientados pela Claro a não cancelar o plano anterior, pois perderia o numero fixo e não ocorreria a portabilidade. Estamos com os dois planos ativos um dia 299,24 Oi  e 210 Claro.  As duas operadoras erraram. inicialmente a Oi por manter o cpf de meu falecido pai, mesmo após mudança de titularidade para minha mãe Inês e a claro por cancelar o telefone sem comunicado tempestivo conosco.  a solução é que a claro cumpra o contrato e realize a portabilidade e também uma reparação devido aos custos que estamos tendo pelo prolongamento de prazos e por manter dois planos. Caso a mesma não possa realizar pedimos a reparação da instalação da empresa anterior e ressarcimento de gastos com as duas operadoras._x000D_
",,,,,,,
Problema de funcionamento após portabilidade,"Portabilidade da Tim para claro flex solicitada dia 10/03 e agendada para 13/03 às 10h consta como concluída mas celular não efetua nem recebe chamadas nem envia nem recebe sms. A única coisa que começou a funcionar depois de um tempo foi a internet. Entrei em contato e solicitaram que eu fizesse procedimento de desligar e ligar retirando o chip, mas não adiantou nada. Antes da data agendada da portabilidade o número temporário da Claro estava funcionando normalmente. Já faz 24 horas que estou sem celular, uma vez que o número parou de funcionar na Tim exatamente às 10h do dia 13/03.",,,,,,,
,"Prezad@s, bom dia!_x000D_
_x000D_
No dia 27/02, realizei pela central de Televendas da Claro FIXO (não NET e sim CLARO), a portabilidade do meu oi fixo. A atendente chamada Amanda, finalizou todo o processo e concluiu. Como o Claro FIXO era por chip, o mesmo, de acordo com a atendente, iria chegar no dia 01/03 e que seria entregue pelo . NÃO CHEGOU! Aí esperei uma semana porque pela pandemia, entendi que poderia haver um atraso, apesar de o chip não vir pelos CORREIOS e seria entregue pela própria empresa. _x000D_
_x000D_
Aí como não chegou, liguei, na segunda ou terça da próxima semana (08 ou dia 09 - não lembro qual dia desses). Enfim... Eles reagendaram para entrega na quarta dia dia 10/03 entre 08:00 as 13:00. Não enviaram nem retornaram... Daí liguei e me informaram que até sexta me ligariam para combinar a entrega do chip. NÃO LIGARAM. Daí liguei e me informaram que meu contrato havia cancelado, porém não sabiam nem o motivo. _x000D_
_x000D_
Aí me sugeriram ligar para pedir um contrato novo. Aí começou o inferno. Liga no 10621 e eles pedem para ligar em vários números como 10621, 0800 e outros que já nem lembro mais. Todos eles pedem para ligar no 10621 (o que fiz umas 5 vezes) e eles falam que não é com eles.... E fica esse jogo de empurra, empurra e ninguém resolve. _x000D_
_x000D_
Resumo:_x000D_
_x000D_
Não me entregaram o chip do claro fixo_x000D_
Não me retornaram_x000D_
Cancelaram a portabilidade e nem sabem o motivo_x000D_
Eu liguei para resolver e, além deles  não resolverem, ficam empurrando de lá para cá._x000D_
_x000D_
Me perdi em vários números de protocolos: 021210802114017; 021210802115428, 021210803581552; 021210804523033; 021210804527463; 021210804545259; 021210804549913; 021210804562965; 021210804563633; 021210804834638._x000D_
_x000D_
A portabilidade foi para o Claro Fone Fixo (não para a NET fixo. Apesar de ser a mesma empresa parece que são separadas - o que aumentou a confusão porque muitas das ligações eles transferiam para a NET que dizia não ser ela)._x000D_
_x000D_
Paulo Benevenuto de Aguiar_x000D_
092.542.696-20_x000D_
Telefone que solicitei a Portabilidade da OI FIXO para Claro FIXO (31)3423-6651_x000D_
_x000D_
Para contato também podem entrar pelo (31)98805-6987 celular do meu filho ou 3423-6651_x000D_
_x000D_
Gosto de resolver tudo antes. Porém pela bagunça eu tive que formalizar aqui.",,,,,,,
,"No dia 05/03/21 fui a loja da Vivo ( protocolo: 88772234) no Shopping de Diadema,verificar por que meu vivo não estava funcionando. O atendente que me atendeu nessa data me informou que meu número havia sido feito portabilidade para Claro. Mas eu Izanete não autorizei essa portabilidade. Fui na loja da claro ( protocolo:2021202845209) nesse mesmo dia e atendente fez um estorno de portabilidade.Entretanto hoje dia 14/03/21 liguei na Claro questionando o por que eles não me devolveram meu número de volta para VIVO. Falei com uma atendente chamada Camila que não fez nenhum esforço para solucionar o meu problema._x000D_
Por favor só quero meu número de volta o 11974111303,pois ele está vinculado na minha vida profissional e pessoal. E eu Izanete NÃO autorizei essa portabilidade nenhuma das operadoras entram em contato perguntando se eu queria isso. Quero meu número de volta pré-pago. ",,,,,,,
Demora na portabilidade,"Foi solicitado a operadora claro a portabilidade através do app claro flex, mas o app não deixa eu solicitar, pois informa que já tem uma portabilidade em andamento, só que não consegui solicitar, então como a claro me informa que já tem uma solicitação em andamento, se nem consegui finalizar a solicitação. E com isso minha linha da claro não esta fazendo ligação, e minha linha da outra operadora que quero sair está com o chip ruim e não consigo também fazer ligação. Portanto, tanto a claro, quanto a tim não estão me dando uma solução.",,,,,,,
Demora na portabilidade,"Tinha portabilidade de um numero TIM para a claro agendada para 12/03/2021 pela manha. A portabilidade foi registrada como concluída no aplicativo da Claro, meu contrato foi cancelado na TIM, porém meu número não migrou para a Claro e ainda o pacote de dados do chip Claro foi bloqueado. Entrei em contato com o chat, me disseram que o sistema estava fora do ar e pediram para enviar reclamação por email. Mandei email, recebi resposta no dia seguinte que deveria fazer a reclamação por chat (?????). Fiz a reclamação por chat como solicitado nesse mesmo dia 13/03/2021 - 2021230704930. No dia seguinte, 14/03/2021, entrei em contato para saber do andamento da reclamação, recebi informação que o protocolo não tinha sido aberto com urgência, abriram novamente agora com urgência - 2021233596598. Voltei a entrar em contato pelo chat, o atendente me disse que localizou o problema mas a Claro precisa mais 3 dias úteis para resolver a portabilidade. Meu número é meu contato de trabalho, me traz muitos inconvenientes e possíveis prejuízos, pessoas podem não conseguir me contatar - 2021234130411. Para deixar pior nem o plano de dados funciona, tornando mais difícil qualquer contato quando não estou em casa. Absurdo, indisponibilidade de um número deveria ser tratado com mais prioridade, estou desde sexta pela manha sem meu número, previsão de solução somente na próxima quinta (se resolverem).  ",,,,,,,
,"Meu número sempre foi desde 2019 da operadora Vivo e a claro solicitou uma portabilidade sem minha autorização com isso perdi meu número da vivo e meu plano com esta atrocidade que a operadora claro fez, trabalho com meu número sou advogado e corretor de imóveis e estou com número inativo devido a um erro da operadora ",,,,,,,
